dataset,model,seed,fraction,test_accuracy,test_macro_f1,train_time_sec
agnews_eff_1.0,DistilBERT,42,1.0,0.9265789473684211,0.9265388857490467,39.30486083030701
agnews_eff_1.0,DistilBERT,123,1.0,0.9286842105263158,0.9286414518004297,37.14850211143494
agnews_eff_1.0,DistilBERT,456,1.0,0.9281578947368421,0.9281585727730306,36.905712604522705
agnews_eff_0.5,DistilBERT,42,0.5,0.9201315789473684,0.9201031604019756,20.101231336593628
agnews_eff_0.25,DistilBERT,42,0.25,0.9128947368421053,0.9127153210411114,11.138150691986084
agnews_eff_0.1,DistilBERT,42,0.1,0.9032894736842105,0.9031019215573834,6.236581325531006
agnews_eff_0.05,DistilBERT,42,0.05,0.8926315789473684,0.8923116663608445,12.45323634147644
agnews_eff_0.01,DistilBERT,42,0.01,0.8747368421052631,0.8739581443072832,2.8632090091705322
agnews_eff_0.5,DistilBERT,123,0.5,0.9126315789473685,0.9123029049272323,13.495857954025269
agnews_eff_0.25,DistilBERT,123,0.25,0.9147368421052632,0.9147821463479489,11.219123601913452
agnews_eff_0.1,DistilBERT,123,0.1,0.8993421052631579,0.8991435083950268,6.094174861907959
agnews_eff_0.05,DistilBERT,123,0.05,0.8828947368421053,0.8832205505593661,4.291543245315552
agnews_eff_0.01,DistilBERT,123,0.01,0.843421052631579,0.8429930686302314,4.297514200210571
agnews_eff_0.5,DistilBERT,456,0.5,0.9210526315789473,0.9210254664782973,19.796854972839355
agnews_eff_0.25,DistilBERT,456,0.25,0.9086842105263158,0.9087335070450212,12.709897994995117
agnews_eff_0.1,DistilBERT,456,0.1,0.8972368421052631,0.8973160348302227,6.078815698623657
agnews_eff_0.05,DistilBERT,456,0.05,0.8942105263157895,0.8938838734602119,4.439546346664429
agnews_eff_0.01,DistilBERT,456,0.01,0.8614473684210526,0.8606358319883072,6.706648588180542
agnews_eff_1.0,BERT-base,42,1.0,0.9301315789473684,0.930169059967271,112.64143705368042
agnews_eff_1.0,BERT-base,123,1.0,0.9302631578947368,0.9302205585378664,112.41105031967163
agnews_eff_1.0,BERT-base,456,1.0,0.9330263157894737,0.9330256843788395,114.38605499267578
agnews_eff_0.5,BERT-base,42,0.5,0.9226315789473685,0.9225414074912316,59.95779061317444
agnews_eff_0.25,BERT-base,42,0.25,0.9134210526315789,0.9130414740263909,31.584563970565796
agnews_eff_0.1,BERT-base,42,0.1,0.9055263157894737,0.905334430201544,15.807193040847778
agnews_eff_0.05,BERT-base,42,0.05,0.8852631578947369,0.8849108467398193,6.679814577102661
agnews_eff_0.01,BERT-base,42,0.01,0.8175,0.8165678884874247,5.96077299118042
agnews_eff_0.5,BERT-base,123,0.5,0.9251315789473684,0.9250794941560443,59.28019332885742
agnews_eff_0.25,BERT-base,123,0.25,0.9184210526315789,0.9183781546071385,32.53633427619934
agnews_eff_0.1,BERT-base,123,0.1,0.9052631578947369,0.9052162621528925,15.822843313217163
agnews_eff_0.05,BERT-base,123,0.05,0.8868421052631579,0.8864585484099939,10.51428508758545
agnews_eff_0.01,BERT-base,123,0.01,0.7864473684210527,0.7881439328023947,6.346664667129517
agnews_eff_0.5,BERT-base,456,0.5,0.9252631578947368,0.9252048617485762,59.89866900444031
agnews_eff_0.25,BERT-base,456,0.25,0.9176315789473685,0.917712273984689,31.8403377532959
agnews_eff_0.1,BERT-base,456,0.1,0.9076315789473685,0.907595300506708,16.03981113433838
agnews_eff_0.05,BERT-base,456,0.05,0.8940789473684211,0.8939367812837997,6.942217826843262
agnews_eff_0.01,BERT-base,456,0.01,0.7176315789473684,0.7158046051786205,5.660043716430664
imdb_eff_1.0,DistilBERT,42,1.0,0.8882666666666666,0.888237093704937,80.27892994880676
imdb_eff_1.0,DistilBERT,123,1.0,0.8886666666666667,0.8886395659914463,80.48042297363281
imdb_eff_1.0,DistilBERT,456,1.0,0.8845333333333333,0.8845259429936849,53.661115884780884
imdb_eff_0.5,DistilBERT,42,0.5,0.8744,0.874397713480153,43.65562176704407
imdb_eff_0.25,DistilBERT,42,0.25,0.8673333333333333,0.8673310667583138,24.495094537734985
imdb_eff_0.1,DistilBERT,42,0.1,0.8522666666666666,0.8522537963307026,13.35704493522644
imdb_eff_0.05,DistilBERT,42,0.05,0.8448,0.8447776479813094,9.851746559143066
imdb_eff_0.01,DistilBERT,42,0.01,0.8156,0.8155893484407659,6.7620251178741455
imdb_eff_0.5,DistilBERT,123,0.5,0.8794666666666666,0.8794663581005434,43.15137481689453
imdb_eff_0.25,DistilBERT,123,0.25,0.8674666666666667,0.8674659032702695,24.572426319122314
imdb_eff_0.1,DistilBERT,123,0.1,0.8577333333333333,0.857721978914904,13.45785403251648
imdb_eff_0.05,DistilBERT,123,0.05,0.8408,0.8405023390852946,6.6323323249816895
imdb_eff_0.01,DistilBERT,123,0.01,0.8257333333333333,0.8255055102253592,6.738387823104858
imdb_eff_0.5,DistilBERT,456,0.5,0.8758666666666667,0.8758122470413746,43.358115434646606
imdb_eff_0.25,DistilBERT,456,0.25,0.8704,0.8703845060518879,24.56757092475891
imdb_eff_0.1,DistilBERT,456,0.1,0.8570666666666666,0.8570504021790923,13.573898315429688
imdb_eff_0.05,DistilBERT,456,0.05,0.8472,0.8471902201740911,9.773857831954956
imdb_eff_0.01,DistilBERT,456,0.01,0.8189333333333333,0.8189193104447341,6.7401604652404785
imdb_eff_1.0,BERT-base,42,1.0,0.9017333333333334,0.9017014846143484,224.91879177093506
imdb_eff_1.0,BERT-base,123,1.0,0.8986666666666666,0.8986606061205153,226.75097727775574
imdb_eff_1.0,BERT-base,456,1.0,0.9016,0.9015914275199084,225.89767718315125
imdb_eff_0.5,BERT-base,42,0.5,0.8904,0.8903849091686507,119.02593326568604
imdb_eff_0.25,BERT-base,42,0.25,0.8782666666666666,0.8782569510302787,44.05727219581604
imdb_eff_0.1,BERT-base,42,0.1,0.8654666666666667,0.8654643682001394,34.3634090423584
imdb_eff_0.05,BERT-base,42,0.05,0.8537333333333333,0.8536977292127146,22.659982681274414
imdb_eff_0.01,BERT-base,42,0.01,0.7862666666666667,0.7860637181522546,14.394403457641602
imdb_eff_0.5,BERT-base,123,0.5,0.8861333333333333,0.8860814877526484,118.674147605896
imdb_eff_0.25,BERT-base,123,0.25,0.8798666666666667,0.8798615386231864,44.267744064331055
imdb_eff_0.1,BERT-base,123,0.1,0.8686666666666667,0.8686241008753504,33.43684792518616
imdb_eff_0.05,BERT-base,123,0.05,0.8589333333333333,0.8589164685214994,23.44789481163025
imdb_eff_0.01,BERT-base,123,0.01,0.7096,0.7093407267609948,14.29000735282898
imdb_eff_0.5,BERT-base,456,0.5,0.8897333333333334,0.8897328922649024,118.8914589881897
imdb_eff_0.25,BERT-base,456,0.25,0.8749333333333333,0.8749277745677586,65.37788581848145
imdb_eff_0.1,BERT-base,456,0.1,0.8676,0.8675867586758677,33.49781584739685
imdb_eff_0.05,BERT-base,456,0.05,0.8550666666666666,0.8550638607030099,22.756205081939697
imdb_eff_0.01,BERT-base,456,0.01,0.6969333333333333,0.6969076795993345,16.272592782974243
