dataset,model,seed,learning_rate,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,train_time_sec,inference_time_sec
agnews_main,DistilBERT,42,5e-05,0.927,0.926908266073898,0.9265789473684211,0.9265388857490467,39.30486083030701,1.2181377410888672
agnews_main,DistilBERT,123,5e-05,0.9255,0.925567551432531,0.9286842105263158,0.9286414518004297,37.14850211143494,1.2095975875854492
agnews_main,DistilBERT,456,5e-05,0.925,0.9251601583375597,0.9281578947368421,0.9281585727730306,36.905712604522705,1.2087867259979248
agnews_main,BERT-base,42,2e-05,0.93,0.9300651461216656,0.9301315789473684,0.930169059967271,112.64143705368042,2.646085739135742
agnews_main,BERT-base,123,2e-05,0.933,0.9329688646903072,0.9302631578947368,0.9302205585378664,112.41105031967163,2.663374900817871
agnews_main,BERT-base,456,2e-05,0.9305,0.9305620903547973,0.9330263157894737,0.9330256843788395,114.38605499267578,2.6834936141967773
imdb_main,DistilBERT,42,5e-05,0.8866968808317782,0.8866271891920492,0.8882666666666666,0.888237093704937,80.27892994880676,1.5589382648468018
imdb_main,DistilBERT,123,5e-05,0.8916288989602773,0.8916230737971915,0.8886666666666667,0.8886395659914463,80.48042297363281,1.547311782836914
imdb_main,DistilBERT,456,5e-05,0.8848307118101839,0.8848022112078894,0.8845333333333333,0.8845259429936849,53.661115884780884,1.5611023902893066
imdb_main,BERT-base,42,1e-05,0.8981604905358571,0.8981056761732252,0.9017333333333334,0.9017014846143484,224.91879177093506,3.3508918285369873
imdb_main,BERT-base,123,1e-05,0.897760597174087,0.897743501734787,0.8986666666666666,0.8986606061205153,226.75097727775574,3.357189893722534
imdb_main,BERT-base,456,1e-05,0.8945614502799254,0.8945459338431845,0.9016,0.9015914275199084,225.89767718315125,3.314105272293091
