dataset,model,fraction,seed,accuracy,macro_f1,train_time,infer_time,best_C,best_max_features
AG News,TF-IDF + LogReg,1.0,42,0.8993421052631579,0.8991894117165687,2.2860360145568848,0.0020024776458740234,10.0,50000
AG News,TF-IDF + SVM,1.0,42,0.9025,0.902295864167244,0.24689912796020508,0.0019953250885009766,1.0,50000
AG News,TF-IDF + LogReg,1.0,123,0.8993421052631579,0.8991894117165687,2.458622455596924,0.0019996166229248047,10.0,50000
AG News,TF-IDF + SVM,1.0,123,0.9025,0.902295864167244,0.3432316780090332,0.0009996891021728516,1.0,50000
AG News,TF-IDF + LogReg,1.0,456,0.8993421052631579,0.8991894117165687,2.259746551513672,0.0020046234130859375,10.0,50000
AG News,TF-IDF + SVM,1.0,456,0.9025,0.902295864167244,0.2335975170135498,0.0010089874267578125,1.0,50000
AG News,TF-IDF + LogReg,0.5,42,0.8906578947368421,0.8903910012731775,1.555511474609375,0.0029969215393066406,10.0,50000
AG News,TF-IDF + SVM,0.5,42,0.8955263157894737,0.8952729677450538,0.11836576461791992,0.0025196075439453125,1.0,50000
AG News,TF-IDF + LogReg,0.5,123,0.890921052631579,0.8906538300708586,0.9223127365112305,0.002514362335205078,10.0,30000
AG News,TF-IDF + SVM,0.5,123,0.8926315789473684,0.8922744833309433,0.09209084510803223,0.0009992122650146484,1.0,30000
AG News,TF-IDF + LogReg,0.5,456,0.8923684210526316,0.8920313560344516,1.6496379375457764,0.0019931793212890625,10.0,50000
AG News,TF-IDF + SVM,0.5,456,0.8944736842105263,0.8940961778686626,0.11011672019958496,0.0020492076873779297,1.0,50000
AG News,TF-IDF + LogReg,0.25,42,0.88,0.8795452935969559,1.0042030811309814,0.0020003318786621094,10.0,30000
AG News,TF-IDF + SVM,0.25,42,0.8786842105263157,0.8781855062015396,0.04862809181213379,0.0009996891021728516,1.0,30000
AG News,TF-IDF + LogReg,0.25,123,0.8773684210526316,0.8768374366074968,1.0290722846984863,0.0009984970092773438,10.0,30000
AG News,TF-IDF + SVM,0.25,123,0.8811842105263158,0.8806751732325897,0.06065702438354492,0.002002716064453125,1.0,30000
AG News,TF-IDF + LogReg,0.25,456,0.8682894736842105,0.867611964046551,0.6818368434906006,0.0009996891021728516,1.0,30000
AG News,TF-IDF + SVM,0.25,456,0.8789473684210526,0.8783965153090363,0.06099414825439453,0.001993417739868164,1.0,30000
AG News,TF-IDF + LogReg,0.1,42,0.8513157894736842,0.8504107149260777,0.737952709197998,0.0010828971862792969,10.0,30000
AG News,TF-IDF + SVM,0.1,42,0.8556578947368421,0.8547012267347952,0.04927396774291992,0.002924680709838867,10.0,50000
AG News,TF-IDF + LogReg,0.1,123,0.8578947368421053,0.857078560330315,0.6696536540985107,0.0,10.0,30000
AG News,TF-IDF + SVM,0.1,123,0.8602631578947368,0.8593428367015381,0.029550552368164062,0.0016720294952392578,1.0,50000
AG News,TF-IDF + LogReg,0.1,456,0.8517105263157895,0.8507577599143662,0.8326928615570068,0.003509521484375,10.0,30000
AG News,TF-IDF + SVM,0.1,456,0.8547368421052631,0.8536852458715192,0.039238929748535156,0.0009942054748535156,1.0,30000
AG News,TF-IDF + LogReg,0.05,42,0.8294736842105264,0.8282482178324431,0.41725587844848633,0.0010004043579101562,10.0,30000
AG News,TF-IDF + SVM,0.05,42,0.8336842105263158,0.8325385873856745,0.018590688705444336,0.000995635986328125,10.0,50000
AG News,TF-IDF + LogReg,0.05,123,0.8269736842105263,0.8257418989412186,0.6830964088439941,0.0048427581787109375,10.0,50000
AG News,TF-IDF + SVM,0.05,123,0.8306578947368422,0.8293483174463009,0.01451253890991211,0.0019998550415039062,1.0,50000
AG News,TF-IDF + LogReg,0.05,456,0.8256578947368421,0.8243051441980004,0.5488202571868896,0.001504659652709961,10.0,30000
AG News,TF-IDF + SVM,0.05,456,0.8297368421052631,0.828264532169072,0.048294782638549805,0.0010137557983398438,10.0,50000
AG News,TF-IDF + LogReg,0.01,42,0.7211842105263158,0.7182512602611502,0.022233247756958008,0.0,1.0,10000
AG News,TF-IDF + SVM,0.01,42,0.7207894736842105,0.7176419664033125,0.0019292831420898438,0.0009996891021728516,0.1,10000
AG News,TF-IDF + LogReg,0.01,123,0.7264473684210526,0.725149109793243,0.028287410736083984,0.0009999275207519531,1.0,10000
AG News,TF-IDF + SVM,0.01,123,0.7273684210526316,0.7264069591997298,0.0030670166015625,0.0009992122650146484,10.0,10000
AG News,TF-IDF + LogReg,0.01,456,0.718421052631579,0.7153854285594263,0.10467076301574707,0.0019998550415039062,10.0,10000
AG News,TF-IDF + SVM,0.01,456,0.7209210526315789,0.7177089719262815,0.0014646053314208984,0.0009942054748535156,1.0,10000
