dataset,model,fraction,seed,accuracy,macro_f1,train_time,infer_time,best_C,best_max_features
IMDB,TF-IDF + LogReg,1.0,42,0.8724,0.8723968944239727,0.4614419937133789,0.001997232437133789,10,50000
IMDB,TF-IDF + SVM,1.0,42,0.8658666666666667,0.8658616206789219,0.47849202156066895,0.0009999275207519531,1,50000
IMDB,TF-IDF + LogReg,1.0,123,0.8724,0.8723968944239727,0.4598536491394043,0.001995563507080078,10,50000
IMDB,TF-IDF + SVM,1.0,123,0.8658666666666667,0.8658616206789219,0.4707968235015869,0.001984119415283203,1,50000
IMDB,TF-IDF + LogReg,1.0,456,0.8724,0.8723968944239727,0.5204498767852783,0.0020880699157714844,10,50000
IMDB,TF-IDF + SVM,1.0,456,0.8658666666666667,0.8658616206789219,0.6738173961639404,0.0010020732879638672,1,50000
IMDB,TF-IDF + LogReg,0.5,42,0.8616,0.8615857870134362,0.35497212409973145,0.002000093460083008,10,50000
IMDB,TF-IDF + SVM,0.5,42,0.8578666666666667,0.8578528284815781,0.21354365348815918,0.001985311508178711,1,50000
IMDB,TF-IDF + LogReg,0.5,123,0.8664,0.8663961997141252,0.28551435470581055,0.0015120506286621094,10,50000
IMDB,TF-IDF + SVM,0.5,123,0.8617333333333334,0.8617274312455542,0.253154993057251,0.0009999275207519531,1,50000
IMDB,TF-IDF + LogReg,0.5,456,0.8625333333333334,0.8625242391590029,0.4191868305206299,0.0010006427764892578,10,50000
IMDB,TF-IDF + SVM,0.5,456,0.8594666666666667,0.8594557829224962,0.219376802444458,0.0020051002502441406,1,50000
IMDB,TF-IDF + LogReg,0.25,42,0.8529333333333333,0.8528870705669558,0.10070371627807617,0.0025196075439453125,10,50000
IMDB,TF-IDF + SVM,0.25,42,0.8478666666666667,0.8478270584171073,0.1017007827758789,0.0015099048614501953,1,50000
IMDB,TF-IDF + LogReg,0.25,123,0.8508,0.8507999973475555,0.1152791976928711,0.0021724700927734375,10,50000
IMDB,TF-IDF + SVM,0.25,123,0.8470666666666666,0.8470666639478519,0.15184974670410156,0.003089427947998047,1,50000
IMDB,TF-IDF + LogReg,0.25,456,0.8529333333333333,0.852927055606409,0.1587817668914795,0.002010822296142578,10,50000
IMDB,TF-IDF + SVM,0.25,456,0.8474666666666667,0.8474562421652423,0.11143302917480469,0.0030002593994140625,1,50000
IMDB,TF-IDF + LogReg,0.1,42,0.8285333333333333,0.8285183953802198,0.11707758903503418,0.0020003318786621094,10,50000
IMDB,TF-IDF + SVM,0.1,42,0.8252,0.8251764757465765,0.041289567947387695,0.004601955413818359,1,50000
IMDB,TF-IDF + LogReg,0.1,123,0.8272,0.8271414770184593,0.15034770965576172,0.0025887489318847656,10,50000
IMDB,TF-IDF + SVM,0.1,123,0.8273333333333334,0.8272722844495493,0.042650699615478516,0.0025243759155273438,1,50000
IMDB,TF-IDF + LogReg,0.1,456,0.8286666666666667,0.8286610345644961,0.1228032112121582,0.0030846595764160156,10,50000
IMDB,TF-IDF + SVM,0.1,456,0.8262666666666667,0.8262609556712361,0.04161238670349121,0.0010001659393310547,1,50000
IMDB,TF-IDF + LogReg,0.05,42,0.8137333333333333,0.8136832215726075,0.06380271911621094,0.0019996166229248047,10,30000
IMDB,TF-IDF + SVM,0.05,42,0.8144,0.8143669985775249,0.017049074172973633,0.001001119613647461,1,50000
IMDB,TF-IDF + LogReg,0.05,123,0.8048,0.8046526264685656,0.03438711166381836,0.002527952194213867,10,30000
IMDB,TF-IDF + SVM,0.05,123,0.8017333333333333,0.8015351542769882,0.025637388229370117,0.003000020980834961,1,50000
IMDB,TF-IDF + LogReg,0.05,456,0.8014666666666667,0.8014567518580618,0.06960582733154297,0.0030040740966796875,10,30000
IMDB,TF-IDF + SVM,0.05,456,0.8014666666666667,0.8014374347270574,0.01958489418029785,0.0009984970092773438,1,50000
IMDB,TF-IDF + LogReg,0.01,42,0.7382666666666666,0.7374235043640134,0.043662309646606445,0.002000570297241211,1,50000
IMDB,TF-IDF + SVM,0.01,42,0.734,0.733110420259271,0.0029990673065185547,0.0019998550415039062,1,50000
IMDB,TF-IDF + LogReg,0.01,123,0.7416,0.7412184110201538,0.01934957504272461,0.0029425621032714844,10,10000
IMDB,TF-IDF + SVM,0.01,123,0.7377333333333334,0.7374711825573879,0.002998828887939453,0.0010044574737548828,10,10000
IMDB,TF-IDF + LogReg,0.01,456,0.7322666666666666,0.7322574515631329,0.07006669044494629,0.002016782760620117,10,50000
IMDB,TF-IDF + SVM,0.01,456,0.734,0.733998292860155,0.002991199493408203,0.003121614456176758,10,50000
